date,pm2_5_mean,pm10_mean,carbon_monoxide_mean,dust_mean,temperature_mean,humidity_mean,wind_speed_mean,precipitation_sum,pressure_mean,wind_direction_mean_deg,location,exceeds_pcd_moderate,consecutive_bad_days,target_next_day_pm2_5,target_next_day_exceeds
2023-06-25,9.866666666666667,13.966666666666667,213.16666666666666,0.0,25.2625,90.41666666666667,4.329166666666667,28.4,961.525,208.30497853951718,chiang_rai,False,0,10.375,False
2023-06-26,10.375,14.695833333333333,196.91666666666666,0.0,26.15416666666667,85.83333333333333,4.345833333333333,28.7,961.6374999999999,166.2767014986889,chiang_rai,False,0,7.104166666666667,False
2023-06-27,7.104166666666667,10.1625,194.375,0.2916666666666667,26.316666666666666,84.58333333333333,4.341666666666667,8.700000000000001,962.2541666666666,198.79252925355036,chiang_rai,False,0,7.0874999999999995,False
2023-06-28,7.0874999999999995,9.995833333333334,186.54166666666666,0.0,26.016666666666666,86.91666666666667,3.9458333333333333,7.5,963.6791666666667,165.75368233760798,chiang_rai,False,0,9.612499999999999,False
2023-06-29,9.612499999999999,13.504166666666668,197.875,0.5,26.879166666666666,84.625,3.3625000000000003,6.800000000000001,961.975,235.98715488002017,chiang_rai,False,0,9.308333333333334,False
2023-06-30,9.308333333333334,13.4375,189.75,1.1666666666666667,27.116666666666664,83.29166666666667,5.825,6.8999999999999995,960.8083333333334,222.41537727165243,chiang_rai,False,0,12.916666666666666,False
2023-07-01,12.916666666666666,18.75,199.5,2.4583333333333335,27.2375,83.04166666666667,4.6625000000000005,4.2,960.8708333333334,233.57596603369953,chiang_rai,False,0,12.245833333333332,False
2023-07-02,12.245833333333332,17.666666666666668,174.25,2.7916666666666665,26.691666666666666,85.66666666666667,4.754166666666666,18.6,961.7416666666667,207.83510992847133,chiang_rai,False,0,9.629166666666666,False
2023-07-03,9.629166666666666,13.575000000000001,158.5,0.125,26.2625,85.625,5.008333333333334,14.3,962.2333333333332,196.95029779748535,chiang_rai,False,0,6.895833333333333,False
2023-07-04,6.895833333333333,9.820833333333333,155.29166666666666,0.0,26.045833333333334,84.5,6.341666666666666,3.5,962.2125,187.74921703475462,chiang_rai,False,0,6.520833333333333,False
